,Body
7393,پاسخ نامه شماره 00002 موار اعلام شده در نامه ايراد نرم افزار نبوده لطفا تيکتي در قالب درخواست هاي خود ارسال فرماييد . باتشکر
7400,dim a = Karkard if a>30 then a = 30 if Karkard = 0 then Maskan = 0 else Maskan = Round((Base.Maskan * karkard) \ 30 ) ' dim a = Karkard '' if a>30 then a = 30 ' Maskan = Round(Base.Maskan )
7401,dim a = Karkard if a>30 then a = 30 if Karkard = 0 then Maskan = 0 else Maskan = Round( ( Base.Maskan * karkard ) \ 30 ) ' dim a = Karkard '' if a>30 then a = 30 ' Maskan = Round( Base.Maskan )
7406,با سلام گزارش پايوتي که آدرس سال مالي اون رو به شما دادم مشاهده کرديد؟اگر نقص و مشکلي داره حتما اعلام کنيد . بنظر من فعلا با همين فرم تماس فعلي و فرم گزارش کار اخير آقاي خدايي از بچه ها بخواهيم که ديتا بزنند، تا کم و کاستي ها خودشو نشون بده . مشخصات ديتابيس مورد نظر براي مشاهده گزارش پايوت : 192.68.10.11\sql2014 Database : Check2 گزارش پايوت : vw_pejRep
7407,با سلام رپليکيت براي سال مالي مجازدرست انجام مي شود؟ سرعت اون قابل قبول است؟ اگه همه چي اوکي به نظر مي رسه، ليست جداول شرکت کننده در همين رپليکيت رو به عنوان ليست مبنايي تو پروژه رپليکيت براي سال مالي مجازي لحاظ کنيم .
7417,اين فايلي که اتچ کردمو پيدا کردم گفتن مربوط به شماس براتون ارسال کردم
7420,بسمه تعالي آقاي کرمي با سلام زمان قفل سيستم قديم مولايي را تاريخ 31/02/1398 قرار دهيد .
7422,با سلام ايميل اتوماسيون هنگام باز گردن خطا ميدهد .
7423,با سلام فکس ارسالي از مشتري بدست ما نميرسد . و ايميل هم خطا ميدهد .
7435,با سلام خدمت همکاران گرامي اشکالات سرويس فکس و ايميل در اتوماسيون رفع شده است . لطفا تست کنيد و در صورت وجود اشکال بنده را در جريان بگذاريد .
7440,با سلام امروز تماس از تهران و از سمت مشتري قطع شد .
7451,بسمه تعالي همکاران گرامي با سلام احتراما به استحضار مي رساند ، فقط تا پايان ساعت کاري امروز ملزم به ثبت درخواست ت ردد ماه فروردين خود مي باشيد . در صورت پايان يافتن ساعت کاري امروز فايل ثبت در خواست فروردين ماه بسته خواهد شد و تمامي در خواست ها ابطال مي گردد .
7466,وقتي 3 گانه ويندوزي را با مدل sql 2008r2 express ( ستاپ sql ) نصب مي کنيم، کلاينتها نمي تونن به sql وصل بشن . حدود 3 سال هست که داريم اينگونه ستاپي به مشتري مي ديم، و تازه الان 20 / 03 / 97 تازه بما گزارش داده اند که چنين موردي پيش آمده . من رو 2 تا ويندوز 7 و 10 تست کردم و ديدم که بله ، اين مشکل هست . براي رفع اين مشکل در حال حاضر ( يعني تا وقتي که هنوز ستاپ رو تغيير نداده ايم ) 3 کار رو در sql configuration tools انجام مي ديم تا مشکل حل شود : 1. در Sql server network configuration ، protocols for INSTANCENAME ، Tcp / Ip رو enable مي کنيم . 2. سرويس sql browser را از حالت disable به automatic تبديل مي کنيم . 3. سرويس sql browser را استارت مي کنيم . و هر دو سرويس sql server PAYA و sql server browser را restart مي کنيم .
7484,جناب آقاي خبازي با درود هنگام تعريف قفل وب با خطايي به شرح فايل پيوست مواجه هستم . سپاسگزار خواهم بود اگر خطا مرتفع گردد . با احترام
7490,باسلام پاسخ تيکت شماره : 0000 3 به اطلاع ميرساند درخواست شما در مورد پيش فاکتور هاي کامل نشده انجام ميگردد و تا آخر خرداد ماه تحويل داده ميشود . با تشکر
7505,سلام بکاپهاي ديتابيسهاي واقع در دو ماشين SQL در تبيان و نيز attachment هاي سايتهاي اتوماسيون دار در سرورهاي تبيان روزانه در PC با آي پي هاي : 192.168.1.31 ( آي پي داخلي شرکت براي اين ماشين ) 91.98.111.217 ( آي پي استاتيک که از بيرون مي توان به FTP اين ماشين متصل شد .) دانلود مي شود . براي دريافت فايل از اين ماشين : 1- گيت وي دستگاه خود را به 192.168.10.200 تغيير دهيد و با اکانت کريو لاگين کنيد . 2- با يک کلاينت ftp مانند core ftp به ماشين مذکور وصل بشيد IP : 91.98.111.217 User : sinaps Pass : $@lm@n98 Port : 26 بدين ترتيب مي توان با سرعت 4 مگابايت بر ثانيه بکاپ از ماشين مورد نظر دريافت کرد . نکته : استفاده از آي پي استايک براي اتصال ftp باعث مصرف اينترنت نمي شود، اما در کريو حجم مصرف شده اينترنت قلمداد مي کند . لذا حجم تعريف شده براي کاربري که به کريو لاگين مي کند بايد بيش از حجم فايل دانلود شونده باشد .
7548,با سلام به استحضار ميرساند موارد اعلام شده در تيکت هاي ارسالي در تاريخ 15/2/98 به مرحله بررسي و اقدام رسيد ولي ريموت سرور شما بسته بود . با تشکر
7551,"بسمه تعالي جناب آقاي اهنگري مديريت محترم مجموعه بالسا با عرض سلام و خسته نباشيد بدين وسيله به استحضار ميرساند فاکتورهاي فروش حذف شده از سيستم حسابداري، توسط کاربران s- zaheri , m- mirmiri حذف گرديده است . با تشکر واحد پشتيباني شرکت پايا"
7558,بسمه تعالي همکاران محترم با سلام احتراما به استحضار مي رساند ، حلول ماه مبارک رمضان ، بهار قرآن ، ماه عبادت ‌ هاي عاشقانه ، نيايش ‌ هاي عارفانه و بندگي خالصانه را به شما همکاران گرامي تبريک عرض مي ‌ کنم . ساعات کاري شرکت به شرح ذيل مي باشد : 9 الي 17:30 مي باشد .
7570,تحليل، طراحي، برنامه نويسي، توليد، ارائه و فروش نرم افزارهاي کاربردي يکپارچه در فضاي اينترنت؛ مش اوره، استقرار، نصب، راه ‌ اندازي و پشتيباني و انجام کليه خدمات مربوط به نرم افزارهاي کاربردي يکپارچه در فضاي اينترنت، طراحي صفحات وب در رابطه با موضوع فعاليت شرکت؛ نصب و راه اندازي و تعمير و نگهداري تجهيزات رايانه اي و الکترونيکي؛ انجام فعاليت در زمينه تجارت الکترونيک مرتبط با موضوع فعاليت شرکت؛ خريد و فروش صادرات و واردات کليه سخت افزارها و نرم افزارهاي کامپيوتري و الکترونيکي و مخابراتي ( کالاهاي مجاز بازرگاني ) ، ترخيص کالا از گمرکات داخلي و بين المللي، گشايش اعتبار و ال سي نزد بانک ها؛ شرکت در نمايشگاههاي داخلي و بين المللي؛ شرکت در مناقصات و مزايدات داخلي و خارجي در زمينه موضوع فعاليت شرکت؛ اخذ و اعطاي نمايندگي در زمينه موضوع فعاليت شرکت در داخل و خارج از کشور؛ انعقاد قراردادهاي همکاري و مشارکت با اشخاص حقيقي و حقوقي داخلي و خارجي در زمينه موضوع فعاليت شرکت؛ خريد و فروش سهام شرکت ها و سازمان هاي مجاز دولتي و خصوصي داخلي و خارجي؛ دريافت وام و تسهيلات مالي و اعتباري ارزي و ريالي از کليه بانک ها و موسسات مالي و اعتباري در زمينه موضوع فعاليت شرکت؛ سرمايه گذاري و مشارکت در ساير شرکت ها و موسسات داخلي و خارجي مرتبط با موضوع فعاليت شرکت؛ طراحي و اجراي برنامه ‌ هاي تبليغات اينترنتي و انجام ساير خدمات اينترنتي مربوط به معرفي و فروش ساير کالاها و خدمات
7575,با سلام برنامه امتحانات خرداد 98 : شنبه 25/3 دوشنبه 27/3 سه شنبه 28/3 تا ظهر شنبه 1/4 دوشنبه 3/4 سه شنبه 4/4 تا ظهر چهارشنبه 5/4 پننجشنبه 6/4
7587,با سلام با سلام لطف کنيد از فايل اتچ شده 10 عدد به صورت land scap A4 بگيريد ( صاف بودن مهمه براي طراحي فاکتور ) باتشکر
7630,? اطلاع ي ه مهم در ي افت صورتحساب و چک ضمانت ب ي ست و چهارم ي ن نما ي شگاه ب ي ن الملل ي نفت، گاز، پالا ي ش و پتروش ي م ي مشارکت کنندگان محترم ب ي ست و چهارم ي ن نما ي شگاه ب ي ن الملل ي نفت، گاز، پالا ي ش و پتروش ي م ي با سلام احتراماً به استحضار م ي رساند که صورتحساب نها يي و چکها ي تضام ي ن ارز ي - ر ي ال ي آماده تحو ي ل به مشارکت کنندگان عز ي ز م ي باشد لذا خواهشمند است با توجه به تار ي خ ي که در ادامه به آن اشاره شده است از ساعت 9 ال ي 14 ، نما ي نده آن شرکت به همراه مدارک شامل ( معرف ي نامه، رس ي د چک تضم ي ن ي و مهر شرکت ) به آدرس : تهران، شهرک غرب، بلوار فرحزاد ي به جنوب، نرس ي ده به ب ي مارستان آت ي ه، خ ي ابان سپهر، خ ي ابان بوستان، بعد از گلستان سوم، پلاک 6 ، واحد 1 ، امور مال ي مراجعه نموده و نسبت به در ي افت چک تضم ي ن و صورتحساب خود اقدام نما ي د . بد ي ه ي است در صورت عدم مراجعه جهت در ي افت چک تضم ي ن ط ي زمانبند ي اعلام شده، ستاد برگزار ي ه ي چگونه تعهد ي نداشته و چکها ي تضام ي ن معدوم خواهد شد . نکته مهم 1: تفک ي ک روزها بر اساس سالن ها به جهت پ ي شگ ي ر ي از ازدحام جمع ي ت در نظر گرفته شده است . از ا ي ن رو خواهشمند است صرفا در زمان تع يي ن شده مراجعه نما يي د . نکته مهم 2: زمان تحو ي ل چک و فاکتور از ساعت 9 ال ي 14 م ي باشد لذا خواهشمند است خارج از بازه زمان ي اعلام شده مراجعه نفرما يي د . ي ادآور است مشارکت کنندگان خارج از تهران که امکان در ي افت حضور ي فاکتور ندارند، م ي توانند ط ي ي ک فقره نامه طبق نمونه ذ ي ل ( بر رو ي سربرگ ممهور به مهر شرکت و امضاء مد ي رعامل ) درخواست عودت چک و صورتحساب خود را اعلام و به شماره نمابر 42917100 ي ا ا ي م ي ل sosmali@yahoo.com ارسال و تا يي د ي ه در ي افت نما ي ند . نمونه متن نامه : شرکت محترم راهکار تجارت مد ي ر ي ت کوشا احتراما، خواهشمند است ي ک فقره چک تضم ي ن به شماره ............. نزد بانک ............. شعبه ........... به مبلغ ............. را ابطال و به همراه صورتحساب نها يي ا ي ن شرکت به آدرس .......................... کد پست ي ................ و آقا / خانم ............ تحو ي ل نما يي د .
7631,باسلام از شنبه 21 تا پنج شنبه 2 6 ارديبهشت آقاي داشته : مجموع 52 ساعت * ميانگين حدود 9 و نيم ساعت در روز آقاي کرمي : مجموع 35 ساعت * ميانگين حدود 7 ساعت در روز خانم موسوي : مجموع 3 6 ساعت * ميانگين حدود 7 ساعت در روز خانم آزادي : مجموع 2 2 ساعت * ميانگين حدود 6 و نيم ساعت در روز
7662,بسمه تعالي همکاران گرامي با سلام احتراما به استحضار مي رساند ، فقط تا ساعت 15:00 امروز ملزم به ثبت درخواست ت ردد ماه ارديبهشت خود مي باشيد . در صورت پايان يافتن ، فايل ثبت در خواست ارديبهشت ماه بسته خواهد شد و تمامي در خواست ها ابطال مي گردد .
7663,نامه ارسالي از سامان فراز قشم لطفا پيگيري شود
7666,مد ي ر ي ت محترم شرکت پا ي ا افزار و ي را با سلام و احترام باستحضار م ي رساند ط ي تماس ها ي تلفن ي با آقا ي خباز ي مقرر گرد ي ده بود نرم افزار VOIP ( ل ي نوکس ) به روز رسان ي گردد ول ي متاسفانه نزد ي ک به ي ک ماه هست ا ي ن امر انجام نگرد ي ده است . لذا با توجه به حساس ي ت موضوع نسبت به ارتقا س ي ستم فوق اقدام لازم را مبذول فرمائ ي د . body-1
7672,"(' 3D'E H '-*1'E (' *H,G (G '?F?G F3.G /EH? ~F/'1 (1'? (.4 A1H4 (3?'1 -?'*? E? ('4/ D0' '3*/9' /'1/ .7'? 0?D 1' ?G /1 GF?'E '?,'/ F'EG (' ""F EH',G E? 4H?E (113? A1E'??/ (' *4?1 System.Web.HttpCompileException : c:\WebPaya\CustomerGroup\PayaDemo\Pendar\971204\publish\Views\Message\ View.cshtml( 83): error CS0012: The type ' System.Object ' is defined in an assembly that is not referenced. You must add a reference to assembly ' System.Runtime , Version=4.0.0.0, Culture=neutral, PublicKeyToken =b03f5f7f11d50a3a'. Area Controller Message Action View Url /Message/View?remark=true&storeIndex=0&folderId=R/11&messageId=2195"
7684,باسلام کدين گ 6/001/002 تغيير داده شده داراي سند بوده و از تاريخ 980231 به بعد اين تغيير اعمال مي شود و در صورت ويرايش قبل از اين تاريخ پايا مس ئ وليتي بابت نداشتن تفصيلي اين اسناد ندارد . باتشکر
7703,سلام ساعات اضافه کاري من در ارديبهشت 98 مجموعا 22 ساعت مي باشد .
7705,جناب آقاي داشته با سلام و احترام؛ استدعا دارد به دليل انجام دموي آنلاين براي مشتري بر روي سيستم، دسترسي گزارشات پندار را در کارتابل بنده ايجاد فرماييد . با تشکر کاظمي
7734,جناب آقاي داشته با سلام و احترام هرچقدر تلاش مي کنم که صفحه رو تنظيم کنم که امضا در صفحه اول بيفتد، همواره در صفحه دوم قرار مي گيرد . امروز براي ساير پيش فاکتور ها و نامه ها هم همين طور بوده است . لطفا بررسي فرماييد . با تشکر کاظمي
7750,سلام محل ثبت قفل نرم افزاري در رجيستري ( براي برنامه پنجره ) رو براتون ضميمه کردم . اون مواردي که برنامه از مشتري دوباره کد نرم افزاري مطالبه مي کند، به اين آدرس در رجيستري مراجعه کنيد و ببينيد که شبيه اين پر شده است يا نه .
7772,بسمه تعالي مديرعامل محترم شرکت پايا افزار، جناب آقاي مهندس صفري با درود؛ در خصوص آخرين پيگيري هاي پذيرش موقت در پارک فناوري اطلاعات به اطلاع مي رساند که کليه مکاتبات به دفتر مديريت پارک جناب آقاي دکتر صديق ارسال گرديد . رئيس دفتر ايشان با معاونت پارک جناب آقاي طباطبايي صحبت کرده اند . در نامه مورخ 17/9/97 ارسالي از پارک اشاره گرديده بود که شرکت پايا تا 15 بهمن سال 97 بايد قرارداد اجاره پذيرش موقت را انعقاد نموده باشد . پارک اعلام ميکند چون پايا از برج 9 تا 15 بهمن 97 هيچ اقدامي نکرد، در تاريخ 24 بهمن نيز در پذيرش دائم اين موارد م د نظر قرار گرفت و پايا رد در ارزيابي رد شد . در حالي که اگر قرارداد اجاره را مي بست، حض ور در پارک مسجل بود و اين شرکت ساختمان شماره 1 را داشت . درحالي که در همان نامه خود پارک اشاره کرده بود که براي عضويت دائم، بايد در فراخوان شرکت کند و فراخوا ن نيز در همان برج 9 سال 97 صورت پذيرفت . پارک انتظار داشته است که حتي به خاطر هزينه هايي ساخت و سازي که در ساختمان شماره 1 انجام شده بود، ما قرارداد استقرار موقت را تا 15 بهمن 97 مي بستيم و الان نبايد ادعايي براي اسکان داشته باشيم . با تشکر کاظمي
7786,بسمه تعالي مديريت محترم جناب آقاي صفري با سلام احتراماً به استحضار مي رساند، کارشناس محترم بخش پشتيباني سرکار خانم موسوي عليرغم چندين مرتبه تذکر در تاريخ هاي مختلف به ايشان مبني بر خودداري از برگزاري جلسات آموزشي بدون انجام هماهنگي با بنده، مجدداً در روز شنبه مورخ 18 خرداد 98 بدون هماهنگي به شرکت پترو انرژي مراجعه نمودند . لازم به ذکر است در روز شنبه خانم آزادي هم حضور نداشته و قرار بود تنظيم جلسات آموزشي در صورت حضور يکي از اين دو کارشناس داخل دفتر انجام پذيرد . مراتب جهت اطلاع جنابعالي به استحضار مي رسد .
7787,بسمه تعالي همکاران محترم بخش پشتيباني سرکار خانم موسوي، سرکار خانم آزادي باسلام احتراماً با توجه به اتمام مهلت تست نرم افزار مطابق برنامه ي زمانبندي ارائه شده توسط خودتان، گزارش مبسوط خود را به تفکيک هر بخش ارائه نماييد . با تشکر
7792,بسمه تعالي کارشناس محترم بخش پشتيباني سرکار خانم موسوي باسلام احتراماً پيرو مذاکرات قبلي، مستندات استقرار و آموزش مربوط به راه اندازي سيستم فروشگاهي، خريد خارجي، حقوق و دستمزد مخصوص خيريه، تسويه حساب دستمزد ( تسويه حساب، سنوات، عيدي ) و ... را حداکثر تا پايان هفته ي جاري (23 خرداد 98) ارائه نماييد . با تشکر
7801,با سلام تغيير ادرس دمو مالي تحت وب آدرس دمو مالي تحت وب از paydarnew.demo.payasaas.ir به paydar.demo1.payasoft.net تغيير کرده است .
7819,با سلام ساير موارد مرتبط به بستن حساب ها و گزارش هاي مرتبط با انتهاي دوره مالي و bom توليد و قسمتي از منوي اموال براي تست جزيي تر به زمان بيشتري نياز دارد .
7830,باسلام از شنبه 28 ارديبهشت تا پنج شنبه 2 خرداد آقاي داشته : مجموع 39 ساعت ( تماس 7 ساعت ، گزارش کار 32 ساعت ) * ميانگين حدود 7 ساعت در روز آقاي کرمي : مجموع 32 ساعت * ميانگين حدود 6 ساعت در روز خانم موسوي : مجموع 33 ساعت ( تماس 17 ساعت ، گزارش کار 16 ساعت ) * ميانگين حدود 6 ساعت در روز خانم آزادي : مجموع 2 2 ساعت * ( تماس 9 ساعت ، گزارش کار 13 ساعت ) ميانگين حدود 6 ساعت در روز
7831,باسلام از شنبه 4 خرداد تا پنج شنبه 9 خرداد آقاي داشته : مجموع 34 ساعت ( تماس 7 ساعت ، گزارش کار 27 ساعت ) * ميانگين حدود 7 و نيم ساعت در روز آقاي کرمي : مجموع 27 ساعت * ميانگين حدود 6 ساعت در روز خانم موسوي : مجموع 19 ساعت ( تماس 9 ساعت ، گزارش کار 10 ساعت ) * ميانگين حدود 5 ساعت در روز خانم آزادي : مجموع 13 ساعت * ( تماس 8 ساعت ، گزارش کار 5 ساعت ) ميانگين حدود 5 ساعت در روز
7832,باسلام از شنبه 11 خرداد تا دو شنبه 13 خرداد آقاي داشته : مجموع 25 ساعت ( تماس 7 ساعت ، گزارش کار 18 ساعت ) * ميانگين حدود 8 ساعت در روز آقاي کرمي : مجموع 2 1 ساعت * ميانگين حدود 7 ساعت در روز خانم موسوي : مجموع 19 ساعت ( تماس 6 ساعت ، گزارش کار 1 3 ساعت ) * ميانگين حدود 6 ونيم ساعت در روز خانم آزادي : مجموع 1 2 ساعت * ( تماس 7 ساعت ، گزارش کار 5 ساعت ) ميانگين حدود 4 ساعت در روز
7833,بسمه تعالي همکاران محترم واحد پشتيباني سرکار خانم موسوي و خانم آزادي با سلام احتراماً با توجه به عدم ارائه ي گزارش تست نرم افزار در موعد مقرر، نسبت به اعلام دلايل موجه اين تاخير ، فوراً اقدام نماييد . لازم به يادآوري است، زمانبندي بطور آزاد و توسط خودتان اعلام شده بود و طبق برنامه ي اعلامي، مقرر بود در دو مرحله در تاريخ هاي 2 و 9 خرداد به اتمام برسد . که به دليل عدم تکميل، دو مرتبه تا 13 و 20 خرداد تمديد شد .
7840,گزارش قيمت و دريافت پروپوزال جهت اخذ استاندارد ايزو 27000 ميزان حمايت صندوق : نوع استاندارد ميزان حمايت از مشاوره و اخذ مجوز ( ريال ) استاندارد هاي ايزو و مجوزهاي تخصصي 70 درصد هزينه ها تا سقف 200 ميليون ريال استانداردهاي صادراتي 50 درصد هزينه ها تا سقف 1000 ميليون ريال تعرفه شرکت هاي مشاور براي اخذ استاندارد نام شرکت تعرفه ( ريال ) مدت زمان پياده سازي دريافت پروپوزال پيشران صنعت 16 0.000.000 4 ماه بله پوياصنعت بهينه 160.000.000 7 ماه بله طراحان کيفيت 310.000.000 4 ماه بله کاوشگران پوياي پارس - - - تعرفه شرکت هاي صادرکننده گواهي : نام شرکت تعرفه ( ريال ) مراقبتي سال اول مراقبتي سال دوم IMQ 169.000.000 40.000.000 40.000.000 TUVnord 90.300.000 + 1200 يورو صدور استاندارد 19.350.000 19.350.000 TUVintercert 53.000.000 + 500 يورو صدور استاندارد 28.500.000 28.500.000 DAS 99.000.000 49.000.000 49.000.000 DQS - - -
7842,با سلام برنامه امتحانات خرداد و تير 98 : شنبه 25/ 3 دوشنبه 27/3 سه شنبه 28/3 تا ظهر شنبه 1/4 تا ظهر دوشنبه 3/4 سه شنبه 4/4 تا ظهر چهارشنبه 5/4 پننجشنبه 6/4
7843,بسمه تعالي اينجانب حسين آباقي به شماره ملي -------------- ، کارمند شرکت پايا افز ا رگستر صدرا و به عنوان سازنده فيلم آموزشي نرم افزار --------------------- ، تعهد مي نمايم فيلم آموزشي ساخته شده، بر اساس محتوا و منطبق بر طرح ساخت فيلم ارائه شده از طرف شرکت پايا افز ا رگستر صدرا به اينجانب، تهيه شده است . همچنين، کليه حقوق مالکيت فکري و مادي فيلم آموزشي نرم افزار --------------------- و محتواي آن متعلق به شرکت پايا افزارگستر صدرا مي باشد . مشخصات فيلم آموزشي : فيلم آموزشي نرم افزار ------------------ در يک نسخه و در قطع DVD Full HD 4k زمان دقيق --------- دقيقه، در ساختار انيميشن رئال تلفيقي به صورت تک نسخه اي سريالي به همراه کليه مستندات کتبي دريافت شده از شرکت پايا افزارگستر صدرا، در تاريخ ----------------------- يه اين شرکت تحويل گرديد . امضاء حسين آباقي
7845,"خدمات پشتيباني شرکت پايا افزارگستر صدرا خدمات پشتيباني به عنوان پل ارتباطي پايا افزار با مشتريان محسوب مي گردد . اين شرکت در تلاش است با بهره گيري از متخصصان خبره در بخش پشتيباني، زيرساخت هاي لازم را در راستاي استفاده بهينه از راه حل ها و امکانات نرم ‌ افزاري براي مشتريان خود به دو صورت : ? پشتيباني در ساعات اداري ? پشتيباني 24 ساعته فراهم آورد . انواع خدمات پشتيباني قابل ارائه در شرکت پايا افزار : 1. پاسخگويي به نياز هاي سيستمي کاربران پاسخگويي به نيازها و مشکلات کاربران از طريق تماس تلفني، ارتباطات راه دور، پرتال مشتريان ، پاسخگويي آنلاين و يا در صورت لزوم مراجعه حضوري به انجام مي رسد . 2. خدمات نصب و راه اندازي سيستم ها اين خدمت شامل نصب، تنظيمات و تحويل نرم افزار بر روي سرور کاربر مي باشد که در زمان خريد نرم افزار و پس از آن به درخواست وي توسط بخش پشتيباني از طريق حضور در محل مشتري و يا از راه دور قابل انجام مي باشد . 3. آموزش ? آموزش در زمان خريد در راستاي استفاده بهينه از سيستم هاي نرم افزاري، نرم افزارهاي اين شرکت داراي تعداد ساعات آموزشي استاندارد مي باشند که بخش پشتيباني، آموزش ها را به صورت رايگان و از طريق جلسات حضوري، تلفني و يا ارتباطات از راه دور به کاربران ارائه مي نمايد . ? آموزش حين استفاده از نرم افزارها در صورت درخواست آموزش سيستم ها براي کاربران فعلي در راستاي افزايش توانمندي بهره برداري از سيستم ها، اين آموزش ها نيز از طريق جلسات حضوري، تلفني و يا ارتباطات از راه دور در اختيار مشتريان قرار مي ‌ گيرد . ? ارائه محتواي آموزشي کليه نرم افزارهاي شرکت پايا افزار داراي محتواهاي آموزشي به صورت فيلم يا جزوات آموزشي مي باشند که در هنگام عقد قرارداد خريد و يا در طول بهره گيري کاربران از خدمات پشتيباني، به صورت رايگان در اختيار مشتريان قرار مي ‌ گيرد . ? دسترسي آنلاين به محتواي آموزشي بسياري از محتواهاي آموزشي نرم افزارها از طريق سايت شرکت و يا ساير رسانه ‌ ها و شبکه ‌ هاي اجتماعي به صورت رايگان در دسترس کاربران مي باشد . همچنين، مجموعه اي از متداول ترين مسائل رخ داده براي مشتريان به همراه راه حل هاي قابل ارائه آنها به عنوان پرسش هاي متداول براي هر کدام از نرم افزارهاي اين شرکت در سايت به صورت دسته بندي شده گنجانده شده است که کاربران مي ‌ توانند از اين طريق به راه حل هاي کاربردي و سيستمي خود دسترسي داشته باشند . 4. مشاوره شرکت پايا افزار با بهره مندي از متخصصان خبره امور مالي و IT در مجموعه خدمات پس از فروش خود، مشاوره هاي لازم را جهت استفاده از نرم افزارها و يا پياده ‌ سازي راه ‌ حل ‌ هاي جايگزين و بهينه ‌ سازي فرآيندهاي هر کسب و کار در اختيار کاربران قرار مي دهد . 5. بومي سازي نرم افزارها کارشناسان بخش پشتيباني با دارا بودن تجربه پياده سازي سيستم ها در مجموعه هاي گوناگون درخواست هاي کاربران شامل : متناسب سازي راه حل ها و فرآيندها، ايجاد و تغيير فرم ها و گزارش هاي سيستم، پياده سازي راه حل هاي جديد درخواستي و ... را در راستاي انطباق سيستم با قواعد کسب و کار مجموعه ‌ ها عهده ‌ دار مي ‌ باشند . 6. ارائه آخرين نسخه به روز رساني سيستم در اين خدمت، جديدترين نسخه نرم افزار به منظور بهره گيري کاربران از به روز ترين امکانات و يا رفع خطاهاي احتمالي سيستم با هماهنگي کاربران سازمان ‌ ها در اختيارشان قرار گرفته و سيستم به روز رساني مي گردد . 7. خدمات فني و زير ساخت ? Hosting : در اين خدمت در صورت نياز کاربر مي ‌ تواند با هماهنگي کارشناسان فني بخش پشتيباني، نرم افزار خود را به صورت کامل به روي سرورهاي شرکت پايا افزار انتقال دهد . در اين صورت کليه خدمات نگهداري از سيستم ها و زيرساخت،بر عهده شرکت پايا افزار مي باشد . ? خدمات پايگاه داده : در راستاي بهبود عملکرد نرم افزارها، هر سازمان مي ‌ تواند در جهت تنظيمات و بهينه سازي پايگاه داده، خدمات Replication ، تعريف برنامه هاي پشتيبان گيري و ... از دانش کارشناسان فني بخش پشتيباني بهره جويد . ? خدمات convert اطلاعات : در صورت نياز کاربران، خدمات تبديل اطلاعات از ساير پايگاه داده ها به پايگاه داده نرم افزار هاي پايا افزار توسط بخش پشتيباني قابل انجام مي باشد . 8. ارائه قفل سيستم ها : در صورت تغيير در مشخصات قفل و يا آسيب به قفل نرم افزارها، قفل سيستم ها مجدداً در اختيار کاربر قرار مي گيرد . فيلم هاي آموزشي جزوات آموزشي سوالات متداول بانک دانش تلفن هاي تماس با بخش پشتيباني : 021889496262 در تهران و شهرستان ها 1836 در تهران "" امکان پاسخگويي آنلاين در سايت گذاشته شود ."""
7847,بسمه تعالي مديريت محترم با سلام احتراماً به استحضار مي رساند، ارسال و دريافت ايميل در سامانه اتوماسيون اداري دچار اشکال و خطا بوده و امکانپذير نيست . با توجه به اهميت آرشيو ايميل ها در پرونده ي مشتري و پيگيري هاي آتي و رديابي نامه ها و ... در آينده، خواهشمند است نسبت به رفع اين مورد و همچنين مورد گزارش ارسال فکس ها، دستورات لازم را مبذول فرماييد . با تشکر
7850,باسلام از شنبه 1 8 خرداد تا پنج شنبه 23 خرداد آقاي داشته : مجموع 39 ساعت ( تماس 8 ساعت ، گزارش کار 31 ساعت ) * ميانگين حدود 7 ساعت در روز آقاي کرمي : مجموع 27 ساعت * ميانگين حدود 5 ساعت در روز خانم موسوي : مجموع 36 ساعت ( تماس 12 ساعت ، گزارش کار 24 ساعت ) * ميانگين حدود 6 ونيم ساعت در روز خانم آزادي : مجموع 31 ساعت * ( تماس 11 ساعت ، گزارش کار 20 ساعت ) ميانگين حدود 7 ساعت در روز
7851,جناب آقاي باقري مديريت محترم پشتيباني واحد وب بدين وسيله به استحضارميرساند بدليل ترافيک و حجم کار زياد و پيگيري موارد مشتريان و هم چن ين وجود اشکال در برخي سرفصلها و ع د م امکان تغيير فرايندها بصورت دستي ، امکان تحويل نتيجه تست نرم افزار در موعد مقرر نبود . هم چنين جنابعالي با مراجعه به گزارش کار ارسالي که بازهم بدليل مشغله هاي کاري حدودا 80 درصد آن ثبت گرديده ميتوانيد از صحت اين موضوع اطم ينان حاصل فرماييد . باتشکر
7852,بسمه تعالي مديريت محترم با سلام احتراماً به پيوست، نتيجه ي تست نرم افزار ارائه مي گردد . تست بر روي تمامي زير سيستم ها شامل فرمها و گزارشات انجام شده است . حتي المقدور سعي شده تمامي ابعاد سيستم بررسي شده و موردي از قلم نيافتد . ليکن با توجه به گستردگي سيستم، تعدد حالتها، تنظيمات متفاوت و ... ، جاافتادن و به چشم نيامدن برخي موارد محتمل است . البته مسئوليت کاستي ها و نواقص احتمالي در فرآيند تست برعهده اينجانب مي باشد . ليکن سعي شده اين اتفاق در حداقل قرار بگيرد . ليست پيوست شامل گزارش موارد اشکال بوده، البته برخي موارد بطور مستقيم به من اعلام شده و من در سيستم ايجاد کار نموده و بعضاً ارجاع هم داده ام، فلذا ممکن است اين موارد در ليست پيوست نباشد ولي در کارتابل من وجود دارد .
7855,تست
